ticker,company,sector
AAPL,Apple,Technology
MSFT,Microsoft,Technology
NVDA,NVIDIA,Technology
AVGO,Broadcom,Technology
ORCL,Oracle,Technology
CSCO,Cisco,Technology
IBM,IBM,Technology
ADBE,Adobe,Technology
CRM,Salesforce,Technology
AMD,Advanced Micro Devices,Technology
QCOM,Qualcomm,Technology
INTU,Intuit,Technology
PANW,Palo Alto Networks,Technology
GOOGL,Alphabet,Communication Services
META,Meta Platforms,Communication Services
NFLX,Netflix,Communication Services
DIS,Walt Disney,Communication Services
TMUS,T-Mobile US,Communication Services
AMZN,Amazon,Consumer Discretionary
TSLA,Tesla,Consumer Discretionary
HD,Home Depot,Consumer Discretionary
MCD,McDonald's,Consumer Discretionary
NKE,Nike,Consumer Discretionary
BKNG,Booking Holdings,Consumer Discretionary
LOW,Lowe's,Consumer Discretionary
WMT,Walmart,Consumer Staples
COST,Costco,Consumer Staples
PG,Procter & Gamble,Consumer Staples
KO,Coca-Cola,Consumer Staples
PEP,PepsiCo,Consumer Staples
LLY,Eli Lilly,Health Care
UNH,UnitedHealth Group,Health Care
JNJ,Johnson & Johnson,Health Care
ABBV,AbbVie,Health Care
MRK,Merck,Health Care
TMO,Thermo Fisher Scientific,Health Care
DHR,Danaher,Health Care
ISRG,Intuitive Surgical,Health Care
JPM,JPMorgan Chase,Financials
BAC,Bank of America,Financials
WFC,Wells Fargo,Financials
GS,Goldman Sachs,Financials
MS,Morgan Stanley,Financials
BLK,BlackRock,Financials
SCHW,Charles Schwab,Financials
AXP,American Express,Financials
PNC,PNC Financial Services,Financials
USB,US Bancorp,Financials
CAT,Caterpillar,Industrials
DE,Deere,Industrials
HON,Honeywell,Industrials
UNP,Union Pacific,Industrials
GE,GE Aerospace,Industrials
RTX,RTX,Industrials
LMT,Lockheed Martin,Industrials
ETN,Eaton,Industrials
XOM,Exxon Mobil,Energy
CVX,Chevron,Energy
COP,ConocoPhillips,Energy
EOG,EOG Resources,Energy
SLB,SLB,Energy
OXY,Occidental Petroleum,Energy
NEE,NextEra Energy,Utilities
SO,Southern Company,Utilities
DUK,Duke Energy,Utilities
AEP,American Electric Power,Utilities
EXC,Exelon,Utilities
PLD,Prologis,Real Estate
AMT,American Tower,Real Estate
EQIX,Equinix,Real Estate
O,Realty Income,Real Estate
LIN,Linde,Materials
APD,Air Products and Chemicals,Materials
SHW,Sherwin-Williams,Materials
FCX,Freeport-McMoRan,Materials
NEM,Newmont,Materials
